Unidade,Unidade Superior,Relacionamento Interpessoal,Liderança,Organização,Responsabilidade,Flexibilidade,Disponibilidade,Comunicação,Gestão de Materiais,Atualização,Conhecimento
Centro de Ciências da Saúde,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,Administração dos Centros,4,4,4,4,4,4,4,4,4,4
Centro de Ciências da Saúde,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,4,3,5,4,5,3,3,5,5,4
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,4,4,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,4,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,4,5,4,5
Centro de Ciências Exatas,Administração dos Centros,4,4,4,4,4,4,4,4,4,4
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,4,4,4,4,4,5,5,4,4,4
Centro de Ciências Exatas,Administração dos Centros,5,4,5,5,5,4,4,5,4,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",Administração dos Centros,4,4,3,4,4,4,4,4,4,4
Centro de Ciências Jurídicas e Econômicas,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação,Administração dos Centros,5,4,4,5,5,5,5,5,5,5
Centro de Educação,Administração dos Centros,5,5,4,5,5,5,5,5,5,5
Centro de Educação,Administração dos Centros,5,5,4,5,5,5,5,5,5,5
Centro de Educação,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,4,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,4,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,4,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,4,4,4,4,3,4,4,4,4,4
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,4,4,5,5,4,5,4,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,3,3,3,3,2,3,4,4,4,3
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,4,4,4,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,4,5,5,5,5,5,5,4
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,Administração dos Centros,4,4,4,4,4,4,4,4,4,4
Centro de Educação Física e Desportos,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,Administração dos Centros,4,4,4,4,4,4,4,4,4,4
Centro Tecnológico,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,Administração dos Centros,5,4,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,Administração dos Centros,4,3,3,3,4,4,3,4,4,4
Centro Universitário Norte do Espírito Santo,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,Administração dos Centros,3,4,4,5,4,5,4,4,4,3
Centro Universitário Norte do Espírito Santo,Administração dos Centros,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo - CEUNES,Unidades,1,1,1,1,1,1,1,1,1,1
Colégio de Aplicação Criarte,Centro de Educação,4,5,5,5,4,4,4,5,5,5
Colégio de Aplicação Criarte,Centro de Educação,3,4,5,5,4,4,3,5,5,5
Colégio de Aplicação Criarte,Centro de Educação,4,5,5,5,5,5,5,5,5,5
Colégio de Aplicação Criarte,Centro de Educação,5,5,5,5,5,5,5,5,5,5
Colégio de Aplicação Criarte,Centro de Educação,5,5,5,5,5,5,4,5,5,5
Colégio de Aplicação Criarte,Centro de Educação,5,5,5,5,5,5,5,5,5,5
Colégio de Aplicação Criarte,Centro de Educação,5,5,5,5,5,5,5,5,5,5
Colégio de Aplicação Criarte,Centro de Educação,5,5,5,5,5,5,5,5,5,5
Colégio de Aplicação Criarte,Centro de Educação,5,5,5,5,5,5,5,5,5,5
Colégio de Aplicação Criarte,Centro de Educação,5,5,5,5,5,5,4,5,5,5
Colégio de Aplicação Criarte,Centro de Educação,5,5,5,5,5,5,5,5,5,5
Coordenação Administrativa,Secretaria de Órgãos Colegiados Superiores,5,5,5,5,5,5,5,5,5,5
Coordenação da Fazenda Experimental,Centro Universitário Norte do Espírito Santo,3,3,3,2,3,3,3,3,2,2
Coordenação da Fazenda Experimental,Centro Universitário Norte do Espírito Santo,1,1,2,1,2,2,1,4,3,1
Coordenação da Fazenda Experimental,Centro Universitário Norte do Espírito Santo,4,4,4,4,4,4,4,5,4,4
Coordenação da Fazenda Experimental,Centro Universitário Norte do Espírito Santo,5,5,5,4,5,4,4,5,5,5
Coordenação da Fazenda Experimental,Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Coordenação da Fazenda Experimental,Centro Universitário Norte do Espírito Santo,1,1,1,1,3,1,2,2,3,1
Coordenação de Acompanhamento Acadêmico,Diretoria de Apoio Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Acompanhamento de Currículos,Diretoria de Desenvolvimento Pedagógico,5,5,5,5,5,5,5,5,5,5
Coordenação de Acompanhamento de Recursos e Projetos,Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Coordenação de Acompanhamento de Recursos e Projetos,Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Coordenação de Acompanhamento de Recursos e Projetos,Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,4
Coordenação de Acompanhamento e Controle de Projetos,Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Coordenação de Acompanhamento e Fiscalização de Obras,Diretoria de Obras,5,5,5,5,5,5,5,4,5,5
Coordenação de Acompanhamento e Fiscalização de Obras,Diretoria de Obras,5,5,5,5,5,5,5,5,5,5
Coordenação de Acompanhamento e Orientação à Legislação,Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Acompanhamento e Orientação à Legislação,Pró-Reitoria de Gestão de Pessoas,5,5,4,5,5,5,5,5,5,5
Coordenação de Acompanhamento e Orientação à Legislação,Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Acompanhamento e Orientação à Legislação,Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Administração e Finanças,Diretoria de Gestão dos Restaurantes,4,5,5,5,4,5,4,5,4,4
Coordenação de Administração e Finanças,Diretoria de Gestão dos Restaurantes,3,4,4,5,4,5,3,5,5,5
Coordenação de Administração e Finanças,Diretoria de Gestão dos Restaurantes,3,2,5,5,2,3,1,4,5,5
Coordenação de Administração e Finanças,Diretoria de Gestão dos Restaurantes,4,5,5,5,4,4,4,4,5,5
Coordenação de Administração e Finanças,Diretoria de Gestão dos Restaurantes,3,3,5,5,3,5,4,5,5,5
Coordenação de Administração e Finanças,Diretoria de Gestão dos Restaurantes,4,5,5,5,5,5,4,5,5,5
Coordenação de Administração Financeira,Superintendência de Contabilidade e Finanças,4,4,4,5,4,5,4,4,5,5
"Coordenação de Análise, Registros e Pagamentos",Diretoria de Gestão de Pessoas,5,5,5,5,5,4,5,5,5,5
"Coordenação de Análise, Registros e Pagamentos",Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
"Coordenação de Análise, Registros e Pagamentos",Diretoria de Gestão de Pessoas,5,5,5,5,5,5,4,5,5,5
"Coordenação de Análise, Registros e Pagamentos",Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
"Coordenação de Análise, Registros e Pagamentos",Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
"Coordenação de Análise, Registros e Pagamentos",Diretoria de Gestão de Pessoas,4,4,4,5,4,4,3,4,5,5
"Coordenação de Análise, Registros e Pagamentos",Diretoria de Gestão de Pessoas,4,5,4,4,4,5,4,4,5,5
"Coordenação de Análise, Registros e Pagamentos",Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Apoio à Gestão,Reitoria,5,5,5,5,5,5,5,5,5,5
Coordenação de Áreas Experimentais,Centro de Ciências Agrárias e Engenharias,4,4,4,4,3,4,4,4,4,4
Coordenação de Contabilidade,Superintendência de Contabilidade e Finanças,4,3,3,5,4,5,3,5,4,5
Coordenação de Controle de Prestação de Contas,Diretoria de Projetos Institucionais,5,4,4,4,4,5,5,5,3,4
Coordenação de Controle de Prestação de Contas,Diretoria de Projetos Institucionais,5,5,5,5,5,5,5,5,5,5
Coordenação de Controle de Prestação de Contas,Diretoria de Projetos Institucionais,5,5,5,5,5,5,5,5,5,4
Coordenação de Controle de Prestação de Contas,Diretoria de Projetos Institucionais,5,5,5,5,5,5,5,5,5,5
Coordenação de Controle de Prestação de Contas,Diretoria de Projetos Institucionais,4,4,4,4,4,4,4,5,4,4
Coordenação de Controle de Prestação de Contas,Diretoria de Projetos Institucionais,5,5,4,5,5,5,5,5,5,4
Coordenação de Controle de Prestação de Contas,Diretoria de Projetos Institucionais,5,5,4,5,5,5,5,5,5,5
Coordenação de Documentação Institucional,Pró-Reitoria de Gestão de Pessoas,4,5,5,5,5,5,5,5,5,5
Coordenação de Documentação Institucional,Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Documentação Institucional,Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Documentação Institucional,Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,4,5,5,5
Coordenação de Elaboração de Contratos e Convênios,Diretoria de Projetos Institucionais,5,5,5,5,5,5,5,5,5,5
Coordenação de Elaboração de Contratos e Convênios,Diretoria de Projetos Institucionais,5,5,5,5,5,5,5,5,5,5
Coordenação de Elaboração de Contratos e Convênios,Diretoria de Projetos Institucionais,5,5,5,5,5,5,5,5,5,5
Coordenação de Elaboração de Contratos e Convênios,Diretoria de Projetos Institucionais,5,5,5,5,5,5,5,5,5,5
Coordenação de Elaboração de Contratos e Convênios,Diretoria de Projetos Institucionais,5,5,5,5,5,5,5,5,5,5
Coordenação de Elaboração de Contratos e Convênios,Diretoria de Projetos Institucionais,5,5,5,5,5,5,5,5,5,5
Coordenação de Estágios,Diretoria de Apoio Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Estágios,Diretoria de Apoio Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Estágios,Diretoria de Apoio Acadêmico,4,4,5,4,5,5,4,5,4,4
Coordenação de Estágios,Diretoria de Apoio Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Estágios,Diretoria de Apoio Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Estágios,Diretoria de Apoio Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Expedição e Registro de Diplomas,Diretoria de Registro e Controle Acadêmico,5,4,5,5,5,5,5,5,5,5
Coordenação de Expedição e Registro de Diplomas,Diretoria de Registro e Controle Acadêmico,4,4,4,4,4,4,4,3,5,4
Coordenação de Expedição e Registro de Diplomas,Diretoria de Registro e Controle Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Expedição e Registro de Diplomas,Diretoria de Registro e Controle Acadêmico,5,5,4,5,5,5,5,4,5,5
Coordenação de Expedição e Registro de Diplomas,Diretoria de Registro e Controle Acadêmico,4,4,5,5,4,5,4,5,5,5
Coordenação de Expedição e Registro de Diplomas,Diretoria de Registro e Controle Acadêmico,5,5,5,5,4,5,5,5,5,4
Coordenação de Expedição e Registro de Diplomas,Diretoria de Registro e Controle Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Expedição e Registro de Diplomas,Diretoria de Registro e Controle Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Expedição e Registro de Diplomas,Diretoria de Registro e Controle Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Expedição e Registro de Diplomas,Diretoria de Registro e Controle Acadêmico,5,5,5,5,5,5,5,4,5,5
Coordenação de Fisiologia do Exercício,Centro de Educação Física e Desportos,4,4,4,4,4,4,4,4,5,5
Coordenação de Fisiologia do Exercício,Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Coordenação de Fisiologia do Exercício,Centro de Educação Física e Desportos,5,3,3,4,5,3,2,4,5,4
Coordenação de Gestão Contratual,Diretoria de Contratações de Obras e Serviços,4,4,4,4,3,4,4,4,3,4
Coordenação de Gestão Contratual,Diretoria de Contratações de Obras e Serviços,5,4,4,5,5,5,5,5,5,5
Coordenação de Gestão Contratual,Diretoria de Contratações de Obras e Serviços,5,5,5,5,4,5,4,5,5,4
Coordenação de Gestão Contratual,Diretoria de Contratações de Obras e Serviços,5,5,4,5,5,5,5,5,5,5
Coordenação de Gestão Contratual,Diretoria de Contratações de Obras e Serviços,5,5,5,5,5,5,5,5,5,5
Coordenação de Gestão Contratual,Diretoria de Contratações de Obras e Serviços,5,5,4,5,4,5,4,5,5,5
Coordenação de Gestão da Informação,Gabinete da Reitoria,1,1,2,4,1,1,1,4,3,1
Coordenação de Gestão da Informação,Gabinete da Reitoria,5,5,5,5,5,5,5,5,5,5
Coordenação de Gestão da Informação,Gabinete da Reitoria,5,5,5,5,5,5,5,5,5,5
Coordenação de Gestão da Informação,Gabinete da Reitoria,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Materiais e Patrimônio,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Materiais e Patrimônio,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Materiais e Patrimônio,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Materiais e Patrimônio,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Contratações de Obras e Serviços,5,5,4,5,4,4,4,4,5,5
Coordenação de Licitação,Diretoria de Contratações de Obras e Serviços,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Contratações de Obras e Serviços,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Contratações de Obras e Serviços,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Contratações de Obras e Serviços,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Contratações de Obras e Serviços,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Contratações de Obras e Serviços,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação,Diretoria de Materiais e Patrimônio,5,5,5,5,5,5,5,5,5,5
Coordenação de Licitação - Setorial Sul,Diretoria de Suporte Administrativo - Setorial Sul,5,5,5,5,5,5,5,5,5,5
Coordenação de Matrícula e Controle Acadêmico,Diretoria de Registro e Controle Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Matrícula e Controle Acadêmico,Diretoria de Registro e Controle Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Matrícula e Controle Acadêmico,Diretoria de Registro e Controle Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Matrícula e Controle Acadêmico,Diretoria de Registro e Controle Acadêmico,5,5,5,5,5,5,5,5,5,5
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,4,5,5,5,4,5,4,5,4,4
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,5,5,4,5,5,5,4,5,5,5
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,4,4,3,5,4,5,4,4,4,4
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,5,5,5,5,5,5,5,5,5,5
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,4,3,4,4,3,3,3,4,4,4
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,5,4,4,5,5,5,4,5,4,5
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,5,5,3,5,5,5,3,4,3,5
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,4,5,5,5,4,4,4,5,5,4
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,4,4,3,4,5,5,4,5,4,4
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,5,5,5,4,5,5,5,5,4,5
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,5,4,4,5,4,5,4,5,4,5
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,4,4,4,4,4,4,4,4,3,4
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,4,2,2,3,3,3,2,3,3,3
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,5,4,4,5,5,4,4,5,4,5
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,5,5,4,5,5,4,4,5,5,5
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,3,3,3,3,3,3,3,3,3,3
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,4,5,5,5,4,5,5,5,5,4
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,4,3,3,3,3,3,4,5,4,4
Coordenação de Nutrição,Diretoria de Gestão dos Restaurantes,5,5,5,5,5,5,5,5,5,5
Coordenação de Orçamento,Diretoria de Planejamento e Orçamento,5,5,5,5,5,5,5,5,5,5
Coordenação de Orçamento,Diretoria de Planejamento e Orçamento,5,5,5,5,5,5,5,5,5,5
Coordenação de Passagens,Pró-Reitoria de Administração,5,5,5,5,4,5,5,5,5,5
Coordenação de Planejamento Institucional,Diretoria de Planejamento e Informações Institucionais,5,5,5,5,5,4,4,5,5,5
Coordenação de Planejamento Institucional,Diretoria de Planejamento e Informações Institucionais,5,5,4,5,5,5,5,5,5,5
Coordenação de Planejamento Institucional,Diretoria de Planejamento e Informações Institucionais,5,5,5,5,5,5,5,5,5,5
Coordenação de Planejamento Institucional,Diretoria de Planejamento e Informações Institucionais,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,4,5,4,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,4,5,5,4,5,5,4,5,4,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,4,5,5,4,5,5,4,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,4,5,5,4,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,4,5,5,4,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,4,5,5,5,4,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Orçamentos,Diretoria de Planejamento Físico,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,4,4,4,4,4,4,4,4,4,4
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,5,5,4,5,5,5,4,5,5,5
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,5,4,5,5,4,5,5,5,5,5
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,4,5,5,5,4,4,4,5,5,5
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,3,3,4,5,4,4,3,5,5,5
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,5,4,4,5,4,5,4,4,4,4
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,4,4,4,4,4,4,4,4,4,4
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,3,3,5,5,5,5,5,5,5,5
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,5,4,4,4,4,5,4,5,4,4
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,5,5,5,5,5,5,5,5,5,5
Coordenação de Projetos e Sistemas,Diretoria de Governança e Gestão,5,5,5,5,5,5,5,5,5,5
Coordenação de Provimento e Movimentação,Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Provimento e Movimentação,Diretoria de Gestão de Pessoas,5,4,5,5,4,5,4,5,5,5
Coordenação de Provimento e Movimentação,Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Provimento e Movimentação,Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Provimento e Movimentação,Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Provimento e Movimentação,Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Provimento e Movimentação,Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Provimento e Movimentação,Diretoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Coordenação de Qualidade e Inovação,Diretoria de Tecnologia e Inovação,5,5,5,5,5,5,5,5,5,5
Coordenação de Qualidade e Inovação,Diretoria de Tecnologia e Inovação,5,5,5,5,5,5,5,5,5,5
Coordenação de Suporte ao Usuário,Diretoria de Infraestrutura e Suporte,4,4,5,5,5,4,4,5,4,4
Coordenação de Suporte ao Usuário,Diretoria de Infraestrutura e Suporte,5,5,5,5,5,5,5,5,5,5
Coordenação de Suporte ao Usuário,Diretoria de Infraestrutura e Suporte,5,5,5,5,5,5,5,5,5,5
